gate_index,gate_name,num_qubits,fidelity
90,u,1,7.898553072578522e-06
91,cx,2,7.201228402395062e-08
92,u,1,7.201228394026952e-08
93,u,1,1.4297161459205953e-07
94,u,1,1.4005343257055686e-07
95,cx,2,1.415771781257389e-07
96,u,1,1.360711714358339e-05
97,cx,2,1.7544908079854882e-05
98,u,1,2.1228535495688707e-06
99,u,1,2.1992063791978093e-06
100,cx,2,4.073299218914738e-06
101,u,1,7.859478627548336e-06
102,u,1,7.855575686450125e-06
103,cx,2,2.5532620087663175e-05
104,u,1,2.0981065323635123e-05
105,u,1,6.946607641554992e-06
106,cx,2,0.0002283390489884988
107,u,1,8.757356449756537e-05
108,u,1,0.00010193001769545896
109,cx,2,0.00016145821107181986
110,u,1,1.01141801605236e-05
111,cx,2,3.268295145860243e-06
112,u,1,7.670076798020307e-08
113,u,1,4.732610525269129e-06
114,u,1,7.383537157128681e-06
115,u,1,2.6819539999465047e-06
116,cx,2,2.8968718118392844e-06
117,u,1,1.8245104118178395e-07
118,u,1,1.4183186613948547e-05
119,cx,2,1.4957665106204242e-05
120,u,1,6.565849052813642e-06
121,cx,2,6.008085751838184e-06
122,u,1,1.564519074686198e-05
123,u,1,1.4872170710502962e-05
124,cx,2,1.910194937246168e-05
125,u,1,7.435658096413074e-06
126,u,1,6.064450380968281e-07
127,cx,2,9.616401893528276e-06
128,u,1,2.3239533398870329e-07
129,cx,2,3.4249590059262387e-05
130,u,1,6.352316628089856e-06
131,u,1,7.695300501286746e-05
132,cx,2,1.044963579180945e-05
133,u,1,2.9542818336641427e-05
134,u,1,5.038038876510911e-05
135,cx,2,3.329993283150549e-05
136,u,1,1.764606362426437e-05
137,u,1,1.107387908806683e-06
138,cx,2,3.729663222988167e-05
139,u,1,4.0516874331908296e-05
140,u,1,8.868050592263809e-05
141,u,1,2.8417968967641695e-05
142,u,1,2.603434819748817e-06
143,cx,2,1.451464612877906e-05
144,u,1,3.39059238901795e-06
145,u,1,3.274180173047714e-07
146,cx,2,3.5933427338024714e-07
147,u,1,1.0343804104771117e-07
148,u,1,8.163009126121932e-07
149,cx,2,2.399642432379856e-06
150,u,1,2.500646116141722e-06
151,cx,2,6.050757040917636e-06
152,u,1,3.958353088761023e-06
153,u,1,1.0763566126277178e-06
154,cx,2,9.239626883553692e-07
155,u,1,3.7800513316324145e-06
156,cx,2,0.00012102230213875856
157,u,1,5.529784286299118e-05
158,u,1,0.00011487742883963431
159,cx,2,0.00016109470619058444
160,u,1,1.7241742741012892e-05
161,u,1,3.4755707790411894e-05
162,u,1,2.461287206746657e-06
163,u,1,6.489917635890326e-05
164,cx,2,7.230486307120034e-05
165,u,1,2.1357951260611015e-05
166,u,1,0.0001050228920228813
167,cx,2,0.0001063901825824497
168,u,1,8.01286379548158e-05
169,u,1,0.00012373231454568888
170,cx,2,0.00011937866971496202
171,u,1,0.0002402884112104144
172,cx,2,1.7477670413136026e-05
173,u,1,0.00010050428589640866
174,u,1,0.0007893175879311547
175,cx,2,0.0003937614724815246
176,u,1,0.0007238875569926789
177,cx,2,0.0006749343480772589
178,u,1,0.0005716431315021083
179,u,1,0.0005693560862183094
180,cx,2,0.0006977166101214069
181,u,1,0.0010265144631930094
182,u,1,0.0006335396184577932
183,cx,2,0.00027083335483565635
184,u,1,0.00015397217162404687
185,cx,2,0.00017791741541631415
186,u,1,5.155326429152174e-06
187,u,1,0.00013166565213014784
188,cx,2,9.279033964058403e-06
189,u,1,0.00014760985129464837
190,u,1,0.00022101074055720914
191,u,1,7.663350813889099e-05
192,u,1,0.0006918979786687612
193,u,1,0.0003452802834277232
194,cx,2,0.0004046316170888471
195,u,1,0.0005408861417161343
196,u,1,0.0005104890138120135
197,cx,2,0.0005400011541355322
198,u,1,0.0003751918427842696
199,u,1,0.0005439482029821014
200,cx,2,0.0005576156368003637
201,u,1,0.00018519339680349742
202,cx,2,0.0012185122508184172
203,u,1,0.0014397424834256176
204,u,1,0.001315089871541447
205,cx,2,0.0013610627969057403
206,u,1,0.0007573848202981346
207,u,1,0.001611347938852302
208,cx,2,0.0007553049403435985
209,u,1,0.0016646855341290595
210,cx,2,0.0016619045318768133
211,u,1,0.0029145332361305686
212,u,1,0.003920018910542019
213,cx,2,0.003899836167888318
214,u,1,0.002804299542806271
215,u,1,0.002775560678547972
216,cx,2,0.002765353276725063
217,u,1,0.00032303721300811915
218,u,1,0.00030465146507400906
219,u,1,0.00020997104571828277
220,u,1,0.000307413731656702
221,cx,2,0.00030163421211119797
222,u,1,7.439110748315066e-06
223,u,1,3.120396574828346e-05
224,cx,2,1.9394212383418694e-05
225,u,1,0.00035063952352507537
226,cx,2,0.0002867850940802875
227,u,1,0.00011528690904131306
228,u,1,0.0004334371870152946
229,cx,2,0.00037127572175573646
230,u,1,0.0005190205104257167
231,cx,2,0.0003218846819979595
232,u,1,4.531003299015975e-05
233,u,1,0.00013767874130815252
234,cx,2,2.4528902713591906e-05
235,u,1,0.0002117449861831189
236,u,1,0.00031815927756659063
237,u,1,0.00044420018839999955
238,cx,2,0.00021580458316928047
239,u,1,0.0006814680048221197
240,u,1,0.0006417096067633616
241,cx,2,0.00012468629993757596
242,u,1,1.4975833124357017e-05
243,u,1,0.0003640710046069116
244,u,1,0.00019659762149366555
245,cx,2,0.00019396632836846283
246,u,1,0.0005853688855695082
247,u,1,0.0003488793849020408
248,cx,2,0.0003330363300113669
249,u,1,9.224462138418412e-05
250,cx,2,0.00032734633738969274
251,u,1,2.665613329794189e-06
252,u,1,2.644830170204438e-06
253,cx,2,1.4865978542072193e-05
254,u,1,4.405810864999471e-05
255,u,1,0.00012228228488163828
256,cx,2,0.0003454930644933858
257,u,1,0.0003597840399287944
258,cx,2,0.0001212833327655284
259,u,1,0.00043542603597079605
260,u,1,0.0003091216003017212
261,cx,2,0.0005455866738673775
262,u,1,0.0006208562681274711
263,u,1,0.0008485264765030457
264,u,1,0.0006194588189727685
265,cx,2,0.00027741584841368765
266,u,1,4.7315642677977964e-05
267,u,1,1.504232636222962e-05
268,cx,2,8.562962012882422e-05
269,u,1,0.0001419802776302364
270,cx,2,5.700269817626422e-05
271,u,1,3.365421912587954e-05
272,u,1,0.00013516438405867775
273,cx,2,0.00028876070981336254
274,u,1,0.00035213401452349155
275,u,1,9.648843258255719e-05
276,u,1,0.0013003720101324569
277,cx,2,0.0008365619951430978
278,u,1,0.00066755314338012
279,u,1,0.0007626557318868253
280,cx,2,0.0009420097765268352
281,u,1,0.0010459881670836
282,u,1,0.0024877008150325443
283,u,1,0.001340640712559401
284,cx,2,0.0007687412538849201
285,u,1,0.006313706867512666
286,u,1,0.005759167209649956
287,cx,2,0.005739786538208747
288,u,1,0.012379352037029662
289,cx,2,0.011964370333799395
290,u,1,0.009501582172388489
291,u,1,0.011677165116348842
292,cx,2,0.012109138571925694
293,u,1,0.017098954042084617
294,u,1,0.005125780095854827
295,cx,2,0.003747994428352545
296,u,1,0.002556732130055658
297,u,1,0.008322405073972264
298,cx,2,0.0009351074012420197
299,u,1,0.018509300818927595
300,u,1,0.006946990643739721
301,cx,2,0.0036451978057721796
302,u,1,0.006947213910452751
303,u,1,0.014075884367610555
304,u,1,0.004891254346308988
305,cx,2,0.0046911328134727264
306,u,1,0.008531571548226447
307,u,1,0.0063845140055255505
308,cx,2,0.007096790737588183
309,u,1,0.01274304532162407
310,cx,2,0.09207903743876139
311,u,1,0.010167578111249903
312,u,1,0.030775315485924118
313,cx,2,0.020667905523393117
314,u,1,0.09464353669211338
315,u,1,0.2356325847580043
316,u,1,0.058410863939671334
317,cx,2,0.24619862051889121
318,u,1,0.10694859424785663
319,u,1,0.10694859421133922
320,cx,2,0.2365077170826238
321,u,1,0.24604280843816728
322,u,1,0.10772314243236711
323,cx,2,0.1986793296213776
324,u,1,0.4752714689974923
325,u,1,0.9505429382382411
